model,brand_category,prompt_category,total_prompts,any_name,any_trade,any_total,trade_trade,spacy_name,spacy_trade,spacy_total
gemma-4-31b-it,tech,slogan,180,120,69,134,120,122,62,151
gemma-4-31b-it,tech,implicit,186,152,96,163,123,151,62,164
gemma-4-31b-it,tech,opinion,169,168,39,168,94,163,87,166
gemma-4-31b-it,tech,general,222,216,32,218,103,209,91,215
gemma-4-31b-it,tech,scenario,182,27,29,51,24,64,146,154
gemma-4-31b-it,tech,factual,210,207,52,207,135,205,96,207
gemma-4-31b-it,beverages,slogan,191,113,99,148,128,124,72,156
gemma-4-31b-it,beverages,implicit,179,121,141,176,169,155,26,168
gemma-4-31b-it,beverages,opinion,183,137,19,140,98,114,65,131
gemma-4-31b-it,beverages,general,201,185,29,190,138,178,68,190
gemma-4-31b-it,beverages,scenario,187,2,3,4,0,4,71,74
gemma-4-31b-it,beverages,factual,190,165,29,169,137,172,99,184
gemma-4-31b-it,auto,slogan,189,178,111,184,158,175,70,185
gemma-4-31b-it,auto,implicit,181,158,144,178,158,167,70,172
gemma-4-31b-it,auto,opinion,188,177,41,177,138,167,70,175
gemma-4-31b-it,auto,general,181,178,29,181,129,168,67,180
gemma-4-31b-it,auto,scenario,180,1,8,9,0,7,40,45
gemma-4-31b-it,auto,factual,152,145,40,147,127,144,69,149
qwen-14b,sport,slogan,196,136,122,182,94,104,74,141
qwen-14b,sport,implicit,180,169,142,174,153,88,73,133
qwen-14b,sport,opinion,183,178,32,179,117,135,61,150
qwen-14b,sport,general,193,191,27,191,49,118,43,154
qwen-14b,sport,scenario,176,10,5,14,10,23,62,71
qwen-14b,sport,factual,226,222,65,222,140,136,123,203
qwen-14b,food,slogan,198,90,157,161,103,100,46,129
qwen-14b,food,implicit,180,117,40,126,36,62,37,94
qwen-14b,food,opinion,182,130,17,130,49,97,47,125
qwen-14b,food,general,155,148,22,148,7,101,60,139
qwen-14b,food,scenario,185,5,5,10,2,18,60,66
qwen-14b,food,factual,168,160,47,162,51,112,95,157
qwen-14b,tech,slogan,180,118,76,133,49,115,37,134
qwen-14b,tech,implicit,186,173,98,177,127,134,45,153
qwen-14b,tech,opinion,169,162,37,163,66,142,43,149
qwen-14b,tech,general,222,207,34,209,15,179,40,194
qwen-14b,tech,scenario,182,30,28,53,18,50,85,107
qwen-14b,tech,factual,210,200,56,200,28,193,61,200
qwen-14b,beverages,slogan,191,107,108,147,79,99,39,122
qwen-14b,beverages,implicit,179,178,119,178,126,155,2,157
qwen-14b,beverages,opinion,183,132,15,133,82,125,49,137
qwen-14b,beverages,general,201,189,15,190,42,165,28,181
qwen-14b,beverages,scenario,187,1,0,1,1,2,53,54
qwen-14b,beverages,factual,190,184,31,185,70,163,80,180
qwen-14b,auto,slogan,189,183,144,187,79,175,46,180
qwen-14b,auto,implicit,181,170,110,173,112,145,31,153
qwen-14b,auto,opinion,188,179,42,179,118,155,51,166
qwen-14b,auto,general,181,179,34,180,33,163,21,170
qwen-14b,auto,scenario,180,14,24,36,13,10,28,34
qwen-14b,auto,factual,152,142,51,144,78,139,50,147
