model,brand_category,prompt_category,total_prompts,any_name,any_trade,any_total,trade_trade,spacy_name,spacy_trade,spacy_total
gemma-4-31b-it,sport,opinion,183,139,20,142,113,106,82,132
gemma-4-31b-it,sport,general,193,177,25,182,134,112,81,152
gemma-4-31b-it,sport,scenario,176,2,4,4,2,22,80,92
gemma-4-31b-it,sport,factual,226,208,77,214,195,152,136,207
gemma-4-31b-it,food,slogan,198,74,156,166,138,90,78,150
gemma-4-31b-it,food,implicit,180,28,51,63,41,46,28,62
gemma-4-31b-it,food,opinion,182,101,20,104,53,89,49,108
gemma-4-31b-it,food,general,155,135,24,140,63,99,64,138
gemma-4-31b-it,food,scenario,185,0,10,10,3,21,86,94
gemma-4-31b-it,food,factual,168,147,50,158,104,122,85,153
gemma-4-31b-it,tech,slogan,180,115,68,132,120,118,65,152
gemma-4-31b-it,tech,implicit,186,92,82,114,102,102,45,122
gemma-4-31b-it,tech,opinion,169,136,29,138,89,139,58,143
gemma-4-31b-it,tech,general,222,208,35,212,94,197,72,210
gemma-4-31b-it,tech,scenario,182,20,35,50,19,53,138,149
gemma-4-31b-it,tech,factual,210,199,61,205,132,205,92,209
gemma-4-31b-it,beverages,slogan,191,97,109,144,123,103,66,139
gemma-4-31b-it,beverages,implicit,179,55,147,159,133,119,7,125
gemma-4-31b-it,beverages,opinion,183,87,20,93,58,89,35,97
gemma-4-31b-it,beverages,general,201,169,40,178,109,164,32,175
gemma-4-31b-it,beverages,scenario,187,0,2,2,0,0,67,67
gemma-4-31b-it,beverages,factual,190,157,39,165,125,161,98,177
gemma-4-31b-it,auto,slogan,189,183,126,185,155,178,57,183
gemma-4-31b-it,auto,implicit,181,103,133,156,143,148,48,152
gemma-4-31b-it,auto,opinion,188,163,33,163,128,154,55,163
gemma-4-31b-it,auto,general,181,176,34,179,119,157,51,169
gemma-4-31b-it,auto,scenario,180,0,15,15,0,5,50,54
gemma-4-31b-it,auto,factual,152,142,44,146,118,144,75,149
qwen-14b,sport,slogan,196,131,114,177,97,84,72,133
qwen-14b,sport,implicit,180,147,130,171,147,71,62,114
qwen-14b,sport,opinion,183,151,22,154,81,113,47,124
qwen-14b,sport,general,193,178,32,182,44,100,35,132
qwen-14b,sport,scenario,176,10,7,17,7,18,59,69
qwen-14b,sport,factual,226,214,58,216,138,140,125,208
qwen-14b,food,slogan,198,80,157,162,104,95,48,129
qwen-14b,food,implicit,180,78,21,87,14,38,19,54
qwen-14b,food,opinion,182,109,21,115,32,86,45,112
qwen-14b,food,general,155,112,23,117,5,81,48,115
qwen-14b,food,scenario,185,2,12,14,2,15,67,72
qwen-14b,food,factual,168,158,46,160,39,111,84,155
qwen-14b,tech,slogan,180,114,76,128,45,107,35,129
qwen-14b,tech,implicit,186,136,66,150,79,109,27,124
qwen-14b,tech,opinion,169,132,26,134,40,126,37,131
qwen-14b,tech,general,222,195,32,197,6,160,41,178
qwen-14b,tech,scenario,182,30,31,54,16,48,90,114
qwen-14b,tech,factual,210,190,48,190,21,188,62,199
qwen-14b,beverages,slogan,191,102,107,144,78,92,36,124
qwen-14b,beverages,implicit,179,134,39,151,33,107,3,110
qwen-14b,beverages,opinion,183,133,12,136,67,116,34,122
qwen-14b,beverages,general,201,172,12,174,28,151,22,164
qwen-14b,beverages,scenario,187,5,3,7,4,4,32,34
qwen-14b,beverages,factual,190,175,31,178,59,157,78,175
qwen-14b,auto,slogan,189,172,130,173,73,165,47,175
qwen-14b,auto,implicit,181,122,73,141,69,111,13,118
qwen-14b,auto,opinion,188,178,29,178,106,151,37,162
qwen-14b,auto,general,181,173,30,175,30,151,18,159
qwen-14b,auto,scenario,180,14,21,35,15,7,33,37
qwen-14b,auto,factual,152,140,56,144,71,137,44,146
